Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust;Word
 anger;; disgust;;;;;;cacophony
 anger;; disgust;;;;;;bummer
 anger;; disgust;;;;;;bogus
 anger;; disgust;;;;;;blatant
 anger;; disgust;;;;;;blasphemous
 anger;; disgust;;;;;;blame
 anger;; disgust;;;;;;bile
 anger;; disgust;;;;;;bickering
 anger;; disgust;;;;;;avarice
 anger;; disgust;;;;;;atrocious
 anger;; disgust;;;;;;asshole
 anger;; disgust;;;;;;arrogant
 anger;; disgust;;;;;;antipathy
 anger;; disgust;;;;;;antagonistic
 anger;; disgust;;;;;;annoyance
 anger;; disgust;;;;;;annoy
 anger;; disgust;;;;;;angry
 anger;; disgust;;;;;;alienate
 anger;; disgust;;;;;;aggravation
 anger;; disgust;;;;;;actionable
 anger;; disgust;;;;;;accusation
 anger;;; fear; joy; sadness; surprise;;outburst
 anger;;; fear; joy; sadness;; trust;endless
 anger;;; fear; joy;;; trust;mighty
 anger;;; fear; joy;;; trust;legalized
 anger;;; fear;; sadness; surprise;;violation
 anger;;; fear;; sadness; surprise;;treachery
 anger;;; fear;; sadness; surprise;;stab
 anger;;; fear;; sadness; surprise;;shriek
 anger;;; fear;; sadness; surprise;;shot
 anger;;; fear;; sadness; surprise;;shell
 anger;;; fear;; sadness; surprise;;shatter
 anger;;; fear;; sadness; surprise;;punch
 anger;;; fear;; sadness; surprise;;paralyzed
 anger;;; fear;; sadness; surprise;;kidnap
 anger;;; fear;; sadness; surprise;;invade
 anger;;; fear;; sadness; surprise;;explode
 anger;;; fear;; sadness; surprise;;earthquake
 anger;;; fear;; sadness; surprise;;disturbance
 anger;;; fear;; sadness; surprise;;dissolution
 anger;;; fear;; sadness; surprise;;devastation
 anger;;; fear;; sadness; surprise;;defy
 anger;;; fear;; sadness; surprise;;bomb
 anger;;; fear;; sadness; surprise;;abandonment
